MODEL,SCENARIO,REGION,variable,DATABASE,sensitivity,percent
AIM-Enduse 12.1,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-Conv,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-Conv,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-Conv,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-Conv,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-EERE,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-EERE,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-EERE,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-EERE,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-FullTech,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-LimBio,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-LimBio,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-LimBio,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-LimSW,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-LimSW,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-LimSW,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-LimSW,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-LimTech,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-LimTech,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-LimTech,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-LimTech,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-LimTech,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-LimTech,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-LowEI,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-LowEI,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-LowEI,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse 12.1,EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,percent,-1.0717365025854042
AIM-Enduse 12.1,EMF27-Base-NucOff,LAM,pcgdpmer,AR5,percent,1.3723139628455638
AIM-Enduse 12.1,EMF27-Base-NucOff,MAF,pcgdpmer,AR5,percent,1.2454704187042465
AIM-Enduse 12.1,EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,percent,0.17303385385064085
AIM-Enduse 12.1,EMF27-Base-NucOff,REF,pcgdpmer,AR5,percent,1.0866673803834146
AIM-Enduse 12.1,EMF27-Base-NucOff,World,pcgdpmer,AR5,percent,0.00560088992936425
AIM-Enduse[Backcast] 1.0,LIMITS-Base,ASIA,pcgdpmer,AR5,percent,0.42353575665577214
AIM-Enduse[Backcast] 1.0,LIMITS-Base,LAM,pcgdpmer,AR5,percent,1.862854497550607
